KU	d8:84:66:10:3e:30	-75
GUEST	d8:84:66:5c:76:78	-48
GUEST	d8:84:66:13:6d:68	-62
KU	d8:84:66:39:6c:19	-74
KU	d8:84:66:11:42:d9	-77
KU	d8:84:66:10:48:09	-78
GUEST	d8:84:66:39:6c:18	-74
GUEST	d8:84:66:10:48:08	-79
GUEST	d8:84:66:13:6b:68	-70
GUEST	d8:84:66:10:3e:38	-66
GUEST	d8:84:66:11:48:78	-44
eduroam	d8:84:66:13:6d:61	-65
KU	d8:84:66:13:6d:60	-65
eduroam	d8:84:66:5c:76:71	-55
KU	d8:84:66:5c:76:70	-54
